packagedMedicinalProductPrimaryKey;packagedMedicinalProductFullName;samviewer_url_hyperlink;samviewer_url;prescription_name_fagg_nl;prescription_bcfi_name_nl;LocalPackageID1;localPackageID2;Selected package ID ;pcidLabel;pcId;packageItemType;packageItemTypeLabel;packageItemQuantity;unitsPerPackageItem;manufacturedItemQuanty;manufacturedItemVolumeUnit;packSize;packsizeVolumeUnit;pack_display_value;pack_multiplier;pack_amount;ampp_component_equivalents;packSizeLocal;urlSpcLanguage1;urlSpcLanguage2;packSizeUnit;PackageItemTypeLocalCode;PackageItemTypeLocalLabel;numberOfContainers;unitsPerContainer;manufacturedDoseForm;manufacturedDoseFormLabel;ManufacturedDoseFormLocalLabel;manufacturedDoseFormLocalCode;manufacturedItemUnitOfPresentation;manufacturedItemUnitOfPresentationLabel;manufacturedItemUnitOfPresentationProposedLabel;manufacturedItemUnitOfPresentationProposedCode;manufacturedItemUnitOfPresentationLocalLabel;manufacturedItemUnitOfPresentationLocalCode;manufacturedItemQuantity;manufacturedItemQuantityLocalVolumeUnit;manufacturedItemQuantityVolumeUnit;medicinalProductPrimaryKey;mpIdLabel;mpid;medicnalProductLocalName;MedicinalProductLocalID;fullName;actualTherapeuticMoiety;atcCodes;atcCodeLabel;authorizedPharmaceuticalDoseForm;authorizedPharmaceuticalDoseFormLabel;marketingAuthorizationHolder;marketingAuthorizationHolderLabel;marketingAuthorizationNumber;marketingAuthorizationHolderLocalLabel;marketingAuthorizationHolderLocalCode;country;PhPIDlabel;PhPID;pharmaceuticalProductPrimaryKey;PhpidLevel4Gidwig;administrableDoseForm;administrableDoseFormLabel;Form_BCFI;virtual_form_bcfi;administrableDoseFormProposedCode;administrabledoseformProposedLabel;administrableDoseFormLocalCode;administrableDoseformLocalLabel;pharmaceuticalProductUnitOfPresentation;;pharmaceuticalProductUnitOfPresentationProposedCode;pharmaceuticalProductUnitOfPresentationProposedLabel;routesOfAdministration;routesOfAdministrationLabel;route_of_administration_fagg;virtual_route_of_administration_bcfi;routesOfAdministrationProposedCode;routesOfAdministrationlProposedLabel;routesOfAdministrationLocalCode;routesOfAdministrationLocalLabel;substancePrimaryKey;ingredientRole;substanceCode;substanceName;referenceSubstance;moietyCode;moietyLabel;substances;strengths;moietyModifierLocal;moietyLocal;ModifierLocal;referenceStrengthConcentrationNumeratorValue;referenceStrengthConcentrationNumeratorLabel;referenceStrengthConcentrationNumeratorUnit;referenceStrengthConcentrationDenominatorValue;referenceStrengthConcentrationDenominatorLabel;referenceStrengthConcentrationDenominatorUnit;strength_substances;strength_substances_strengths;virtual_substances;virtual_strength_numerator;virtual_strength_denominator;referenceStrengthPresentationNumeratorValue;referenceStrengthPresentationNumeratorLabel;referenceStrengthPresentationNumeratorUnit;referenceStrengthPresentationDenominatorValue;referenceStrengthPresentationDenominatorLabel;referenceStrengthPresentationDenominatorUnit;strengthPhpidNumeratorValue;strengthPhpidNumeratorLabel;strengthPhpidNumeratorUnit;strengthPhpidDenominatorValue;strengthPhpidDenominatorLabel;strengthPhpidDenominatorUnit;;;StrengthLocalString;strengthNumeratorValue;strenghtNumeratorLabel;strenghtNumeratorUnit;strengthDenominatorValue;strengthDenominatorLabel;strengthDenominatorUnit;strengthConcentrationNumeratorValue;strengthConcentrationNumeratorLabel;strengthConcentrationNumeratorUnit;strengthConcentrationDenominatorValue;strengthConcentrationDenominatorLabel;strengthConcentrationDenominatorUnit;strengthPresentationNumeratorValue;strengthPresentationNumeratorLabel;strengthPresentationNumeratorUnit;strengthPresentationDenominatorValue;strengthPresentationDenominatorUnitLabel;strengthPresentationDenominatorUnit;dddPerPack;dddValue;dddUnit;atcRoa;packSizeNO;vmpGroupISIid;vmpGroupIsLabel;VmpGroupID;VmpGroupLabel;grouperOfSubstanceID;grouperOfSubstanceLabel;PhpidL1ID;PhpidL1Label;vtmID;VtmLabel;intermediateDoseFormCode;intermediateDoseFormLabel;IsiDoseFormCode;IsiDoseFormLabel;;;;GrouperOfProductsWithTheS sameSubstancesWithTheRoleOfPaiL1Phpid;GrouperOfProductsWithTheS sameSubstancesWithTheRoleOfPaiL1PhpidLabel;grouperOfProductsWithTheSameMoietyVtm;grouperOfProductsWithTheSameMoietyVtmlabel;BdfAdfEdqm;BdfAdfLabel;AmeEdqm;AmeLabel;IsiEdqm;IsiLabel;RcEdqm;RcLabel;;ADF_BDF;TRA;ISI;RC;;Pattern;System
5149;NORVALET CAPS 5MG/CAP BTx30 (BLIST 3x10);;;;;5149;267670102;267670102;GRC amlodipine besilate INNOVIS HEALTH A.E. capsule, hard 30 x 5mg/;GRC amlodipine besilate INNOVIS HEALTH A.E. capsule, hard 30 x 5mg/;;;;;30;;30;;;;;;;;;30;;BTx30 (BLIST 3x10);;;10210000;capsule, hard;CAPS;ΚΑΨΟΥΛΑ;15012000;capsule;;;;;30;;;56565656;GRC amlodipine besilate INNOVIS HEALTH A.E. capsule, hard 5mg/;;;;NORVALET CAPS 5MG/CAP;;C08CA01;Amlodipine;10210000;capsule, hard;;INNOVIS HEALTH A.E.;;INNOVIS HEALTH ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΠΑΡΑΦΑΡΜΑΚΕΥΤΙΚΩΝ ΚΑΙ ΚΑΛΛΥΝΤΙΚΩΝ ΠΡΟΪΟΝΤΩΝ ΚΑΙ ΣΥΜΠΛΗΡΩΜΑΤΩΝ ΔΙΑΤΡΟΦΗΣ Δ.Τ. INNOVIS HEALTH A.E.;;GRC;amlodipine besilate capsule, hard 5mg/;;amlodipine besilate capsule, hard 5mg/;;10210000;capsule, hard;;;;CAPS;;;15012000;capsule;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;5;mg;;1;capsule;15012000;5;mg;;;;;;;5MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 5mg/;;;;;;;;;;;;oral;amlodipine oral 5mg/;;;;;;;;;;;;;;;;;;;;;;
5150;NORVALET CAPS 10MG/CAP BTx30 (BLIST 3x10);;;;;5150;267670202;267670202;GRC amlodipine besilate INNOVIS HEALTH A.E. capsule, hard 30 x 10mg/;GRC amlodipine besilate INNOVIS HEALTH A.E. capsule, hard 30 x 10mg/;;;;;30;;30;;;;;;;;;30;;BTx30 (BLIST 3x10);;;10210000;capsule, hard;CAPS;ΚΑΨΟΥΛΑ;15012000;capsule;;;;;30;;;56565657;GRC amlodipine besilate INNOVIS HEALTH A.E. capsule, hard 10mg/;;;;NORVALET CAPS 10MG/CAP ;;C08CA01;Amlodipine;10210000;capsule, hard;;INNOVIS HEALTH A.E.;;INNOVIS HEALTH ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΠΑΡΑΦΑΡΜΑΚΕΥΤΙΚΩΝ ΚΑΙ ΚΑΛΛΥΝΤΙΚΩΝ ΠΡΟΪΟΝΤΩΝ ΚΑΙ ΣΥΜΠΛΗΡΩΜΑΤΩΝ ΔΙΑΤΡΟΦΗΣ Δ.Τ. INNOVIS HEALTH A.E.;;GRC;amlodipine besilate capsule, hard 10mg/;;amlodipine besilate capsule, hard 10mg/;;10210000;capsule, hard;;;;CAPS;;;15012000;capsule;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;10;mg;;1;capsule;15012000;10;mg;;;;;;;10MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 10mg/;;;;;;;;;;;;oral;amlodipine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
4356;FLODIL CAPS 5MG/CAP ΒΤx30 (BLIST 2x15);;;;;4356;258890102;258890102;GRC amlodipine besilate ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 30 x 5mg/;GRC amlodipine besilate ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 30 x 5mg/;;;;;30;;30;;;;;;;;;30;;ΒΤx30 (BLIST 2x15);;;10210000;capsule, hard;CAPS;ΚΑΨΟΥΛΑ;15012000;capsule;;;;;30;;;56565658;GRC amlodipine besilate ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 5mg/;;;;FLODIL CAPS 5MG/CAP ;;C08CA01;Amlodipine;10210000;capsule, hard;;ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.;;ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.;;GRC;amlodipine besilate capsule, hard 5mg/;;amlodipine besilate capsule, hard 5mg/;;10210000;capsule, hard;;;;CAPS;;;15012000;capsule;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;5;mg;;1;capsule;15012000;5;mg;;;;;;;5MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 5mg/;;;;;;;;;;;;oral;amlodipine oral 5mg/;;;;;;;;;;;;;;;;;;;;;;
4358;FLODIL CAPS 10MG/CAP ΒΤx30 (BLIST 2x15);;;;;4358;258890202;258890202;GRC amlodipine besilate ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 30 x 10mg/;GRC amlodipine besilate ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 30 x 10mg/;;;;;30;;30;;;;;;;;;30;;ΒΤx30 (BLIST 2x15);;;10210000;capsule, hard;CAPS;ΚΑΨΟΥΛΑ;15012000;capsule;;;;;30;;;56565659;GRC amlodipine besilate ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 10mg/;;;;FLODIL CAPS 10MG/CAP;;C08CA01;Amlodipine;10210000;capsule, hard;;ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.;;ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.;;GRC;amlodipine besilate capsule, hard 10mg/;;amlodipine besilate capsule, hard 10mg/;;10210000;capsule, hard;;;;CAPS;;;15012000;capsule;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;10;mg;;1;capsule;15012000;10;mg;;;;;;;10MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 10mg/;;;;;;;;;;;;oral;amlodipine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
2719;AMLODIN CAPS 5MG/CAP BT x 30(BLIST 3x 10);;;;;2719;230090103;230090103;GRC amlodipine besilate BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 30 x 5mg/;GRC amlodipine besilate BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 30 x 5mg/;;;;;30;;30;;;;;;;;;30;;BT x 30(BLIST 3x 10);;;10210000;capsule, hard;CAPS;ΚΑΨΟΥΛΑ;15012000;capsule;;;;;30;;;56565660;GRC amlodipine besilate BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 5mg/;;;;AMLODIN CAPS 5MG/CAP;;C08CA01;Amlodipine;10210000;capsule, hard;;BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.;;BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.;;GRC;amlodipine besilate capsule, hard 5mg/;;amlodipine besilate capsule, hard 5mg/;;10210000;capsule, hard;;;;CAPS;;;15012000;capsule;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344l;;;;;;;;;;;;;;5;mg;;1;capsule;15012000;5;mg;;;;;;;5MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 5mg/;;;;;;;;;;;;oral;amlodipine oral 5mg/;;;;;;;;;;;;;;;;;;;;;;
2720;AMLODIN CAPS 10MG/CAP BT x 30(BLIST 3x 10);;;;;2720;230090203;230090203;GRC amlodipine besilate BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 30 x 10mg/;GRC amlodipine besilate BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 30 x 10mg/;;;;;30;;30;;;;;;;;;30;;BT x 30(BLIST 3x 10);;;10210000;capsule, hard;CAPS;ΚΑΨΟΥΛΑ;15012000;capsule;;;;;30;;;56565661;GRC amlodipine besilate BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε. capsule, hard 10mg/;;;;AMLODIN CAPS 10MG/CAP;;C08CA01;Amlodipine;10210000;capsule, hard;;BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.;;BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.;;GRC;amlodipine besilate capsule, hard 10mg/;;amlodipine besilate capsule, hard 10mg/;;10210000;capsule, hard;;;;CAPS;;;15012000;capsule;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;10;mg;;1;capsule;15012000;10;mg;;;;;;;10MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 10mg/;;;;;;;;;;;;oral;amlodipine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
4515;AMLIBON TAB 5MG/TAB BTx30 (BLISTER);;;;;4303;258380102;258380102;GRC amlodipine besilate SANDOZ GMBH, KUNDL, AUSTRIA tablet 20 x 5mg/;GRC amlodipine besilate SANDOZ GMBH, KUNDL, AUSTRIA tablet 20 x 5mg/;;;;;20;;20;;;;;;;;;30;;BTx30(BLISTER 3x10);;;10219000;tablet;CAPS;ΚΑΨΟΥΛΑ;15054000;tablet;;;;;20;;;56565662;GRC amlodipine besilate SANDOZ GMBH, KUNDL, AUSTRIA tablet 5mg/;;;;AMLIBON TAB 5MG/TAB;;C08CA01;Amlodipine;10219000;tablet;;SANDOZ GMBH, KUNDL, AUSTRIA;;SANTA PHARMA A,E,;;GRC;amlodipine besilate tablet 5mg/;;amlodipine besilate tablet 5mg/;;10219000;tablet;;;;CAPS;;;15054000;tablet;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;5;mg;;1;tablet;15054000;5;mg;;;;;;;10MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 5mg/;;;;;;;;;;;;oral;amlodipine oral 5mg/;;;;;;;;;;;;;;;;;;;;;;
4516;AMLIBON TAB 10MG/TAB BTx30 (BLISTER);;;;;4304;258380202;258380202;GRC amlodipine besilate SANDOZ GMBH, KUNDL, AUSTRIA tablet 30 x 10mg/;GRC amlodipine besilate SANDOZ GMBH, KUNDL, AUSTRIA tablet 30 x 10mg/;;;;;30;;30;;;;;;;;;30;;BTx30(BLISTER 3x10);;;10219000;tablet;CAPS;ΚΑΨΟΥΛΑ;15054000;tablet;;;;;30;;;56565663;GRC amlodipine besilate SANDOZ GMBH, KUNDL, AUSTRIA tablet 10mg/;;;;AMLIBON TAB 10MG/TAB;;C08CA01;Amlodipine;10219000;tablet;;SANDOZ GMBH, KUNDL, AUSTRIA;;SANTA PHARMA A,E,;;GRC;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;;10219000;tablet;;;;CAPS;;;15054000;tablet;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;10;mg;;1;tablet;15054000;10;mg;;;;;;;5MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 10mg/;;;;;;;;;;;;oral;amlodipine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
4303;AMODIPAN CAPS 10MG/CAP BTx30(BLISTER 3x10);;;;;6236;283780102;283780102;GRC amlodipine besilate SANTA PHARMA A,E, capsule, hard 30 x 10mg/;GRC amlodipine besilate SANTA PHARMA A,E, capsule, hard 30 x 10mg/;;;;;30;;30;;;;;;;;;30;;BTx30 (BLIST 2x15);;;10210000;capsule, hard;CAPS;ΚΑΨΟΥΛΑ;15012000;capsule;;;;;30;;;56565664;GRC amlodipine besilate SANTA PHARMA A,E, capsule, hard 10mg/;;;;AMODIPAN CAPS 10MG/CAP;;C08CA01;Amlodipine;10210000;capsule, hard;;SANTA PHARMA A,E,;;ΦΑΡΜΕΞ Α.Ε.;;GRC;amlodipine besilate capsule, hard 10mg/;;amlodipine besilate capsule, hard 10mg/;;10210000;capsule, hard;;;;CAPS;;;15012000;capsule;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;10;mg;;1;capsule;15012000;10;mg;;;;;;;5MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 10mg/;;;;;;;;;;;;oral;amlodipine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
4304;AMODIPAN CAPS 5MG/CAP BTx30(BLISTER 3x10);;;;;6237;283780202;283780202;GRC amlodipine besilate SANTA PHARMA A,E, capsule, hard 30 x 5mg/;GRC amlodipine besilate SANTA PHARMA A,E, capsule, hard 30 x 5mg/;;;;;30;;30;;;;;;;;;30;;BTx30 (BLIST 2x15);;;10210000;capsule, hard;CAPS;ΚΑΨΟΥΛΑ;15012000;capsule;;;;;30;;;56565665;GRC amlodipine besilate SANTA PHARMA A,E, capsule, hard 5mg/;;;;AMODIPAN CAPS 5MG/CAP;;C08CA01;Amlodipine;10210000;capsule, hard;;SANTA PHARMA A,E,;;ΦΑΡΜΕΞ Α.Ε.;;GRC;amlodipine besilate capsule, hard 5mg/;;amlodipine besilate capsule, hard 5mg/;;10210000;capsule, hard;;;;CAPS;;;15012000;capsule;;;20053000;oral use;;;;;;;100000090079;PAI;100000090079;amlodipine besilate;;100000085259;amlodipine;;;INEOF00344;;;;;;;;;;;;;;5;mg;;1;capsule;15012000;5;mg;;;;;;;10MG/CAP;;;;;;;;;;;;;;;;;;;;;;;;;amlodipine oral 5mg/;;;;;;;;;;;;oral;amlodipine oral 5mg/;;;;;;;;;;;;;;;;;;;;;;
