packagedMedicinalProductPrimaryKey;packagedMedicinalProductFullName;samviewer_url_hyperlink;samviewer_url;prescription_name_fagg_nl;prescription_bcfi_name_nl;LocalPackageID1;localPackageID2;Selected package ID ;pcidLabel;pcId;packageItemType;packageItemTypeLabel;packageItemQuantity;unitsPerPackageItem;manufacturedItemQuantity;manufacturedItemQuantityVolumeUnit;packSize;packsizeVolumeUnit;pack_display_value;pack_multiplier;pack_amount;ampp_component_equivalents;packSizeLocal;urlSpcLanguage1;urlSpcLanguage2;packSizeUnit;PackageItemTypeLocalCode;PackageItemTypeLocalLabel;numberOfContainers;unitsPerContainer;manufacturedDoseForm;manufacturedDoseFormLabel;manufacturedDoseFormSpor;ManufacturedDoseFormLocalLabel;manufacturedDoseFormLocalCode;manufacturedItemUnitOfPresentation;manufacturedItemUnitOfPresentationLabel;manufacturedUnitOfPresentationSpor;manufacturedItemUnitOfPresentationProposedLabel;manufacturedItemUnitOfPresentationProposedCode;manufacturedItemUnitOfPresentationLocalLabel;manufacturedItemUnitOfPresentationLocalCode;manufacturedItemQuantityLocalVolumeUnit;medicinalProductPrimaryKey;mpIdLabel;mpId;medicnalProductLocalName;MedicinalProductLocalID;actualTherapeuticMoiety;fullName;atcCodes;atcCodeLabel;atcCodeSpor;authorizedPharmaceuticalDoseForm;authorizedPharmaceuticalDoseFormLabel;authorizedPharmaceuticalDoseFormSpor;marketingAuthorizationHolder;marketingAuthorizationHolderLabel;marketingAuthorizationHolderCity;marketingAuthorizationHolderCountry;marketingAuthorizationNumber;marketingAuthorizationHolderLocalLabel;marketingAuthorizationHolderLocalCode;country;PhPIDlabel;PhPID;pharmaceuticalProductPrimaryKey;PhpidLevel4Gidwig;administrableDoseForm;administrableDoseFormLabel;administrableDoseFormSpor;Form_BCFI;virtual_form_bcfi;administrableDoseFormProposedCode;administrabledoseformProposedLabel;administrableDoseFormLocalCode;administrableDoseformLocalLabel;pharmaceuticalProductUnitOfPresentation;pharmaceuticalProductUnitOfPresentationLabel;pharmaceuticalProductUnitOfPresentationSpor;pharmaceuticalProductUnitOfPresentationProposedCode;pharmaceuticalProductUnitOfPresentationProposedLabel;routesOfAdministration;routesOfAdministrationLabel;routesOfAdministrationSpor;route_of_administration_fagg;virtual_route_of_administration_bcfi;routesOfAdministrationProposedCode;routesOfAdministrationlProposedLabel;routesOfAdministrationLocalCode;routesOfAdministrationLocalLabel;substancePrimaryKey;ingredientRole;substanceCode;substanceName;referenceSubstance;moietyCode;moietyLabel;substances;strengths;moietyModifierLocal;moietyLocal;ModifierLocal;referenceStrengthConcentrationNumeratorValue;referenceStrengthConcentrationNumeratorLabel;referenceStrengthConcentrationNumeratorUnit;referenceStrengthConcentrationDenominatorValue;referenceStrengthConcentrationDenominatorLabel;referenceStrengthConcentrationDenominatorUnit;strength_substances;strength_substances_strengths;virtual_substances;virtual_strength_numerator;virtual_strength_denominator;referenceStrengthPresentationNumeratorValue;referenceStrengthPresentationNumeratorLabel;referenceStrengthPresentationNumeratorUnit;referenceStrengthPresentationDenominatorValue;referenceStrengthPresentationDenominatorLabel;referenceStrengthPresentationDenominatorUnit;strengthPhpidNumeratorValue;strengthPhpidNumeratorLabel;strengthPhpidNumeratorUnit;strengthPhpidDenominatorValue;strengthPhpidDenominatorLabel;strengthPhpidDenominatorUnit;;;StrengthLocalString;strengthNumeratorValue;strenghtNumeratorLabel;strenghtNumeratorUnit;strengthDenominatorValue;strengthDenominatorLabel;strengthDenominatorUnit;strengthConcentrationNumeratorValue;strengthConcentrationNumeratorLabel;strengthConcentrationNumeratorUnit;strengthConcentrationDenominatorValue;strengthConcentrationDenominatorLabel;strengthConcentrationDenominatorUnit;strengthPresentationNumeratorValue;strengthPresentationNumeratorLabel;strengthPresentationNumeratorUnit;strengthPresentationDenominatorValue;strengthPresentationDenominatorUnitLabel;strengthPresentationDenominatorUnit;dddPerPack;dddValue;dddUnit;atcRoa;vmpGroupISIid;vmpGroupIsLabel;VmpGroupID;VmpGroupLabel;grouperOfSubstanceID;grouperOfSubstanceLabel;PhpidL1ID;PhpidL1Label;vtmID;VtmLabel;intermediateDoseFormCode;intermediateDoseFormLabel;IsiDoseFormCode;IsiDoseFormLabel;;;;GrouperOfProductsWithTheS sameSubstancesWithTheRoleOfPaiL1Phpid;GrouperOfProductsWithTheS sameSubstancesWithTheRoleOfPaiL1PhpidLabel;grouperOfProductsWithTheSameMoietyVtm;grouperOfProductsWithTheSameMoietyVtmlabel;BdfAdfEdqm;BdfAdfLabel;AmeEdqm;AmeLabel;IsiEdqm;IsiLabel;RcEdqm;RcLabel;;ADF_BDF;TRA;ISI;RC;;Pattern;System
38038028;ABIS*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate AGIPS FARMACEUTICI Srl tablet 14 x 10mg/;ITA amlodpinie besilate AGIPS FARMACEUTICI Srl tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;1;ITA amlodpinie besilate AGIPS FARMACEUTICI Srl tablet 10mg/;ITA amlodpinie besilate AGIPS FARMACEUTICI Srl tablet 10mg/;;;ABIS;ABIS tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;AGIPS FARMACEUTICI Srl;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;tablet;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;PAI;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
37674025;ALMIDIS*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate EPIFARMA Srl tablet 14 x 10mg/;ITA amlodpinie besilate EPIFARMA Srl tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;2;ITA amlodpinie besilate EPIFARMA Srl tablet 10mg/;ITA amlodpinie besilate EPIFARMA Srl tablet 10mg/;;;ALMIDIS;ALMIDIS tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;EPIFARMA Srl;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
37701238;AMLODIPINA*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate ABC FARMACEUTICI SpA tablet 14 x 10mg/;ITA amlodpinie besilate ABC FARMACEUTICI SpA tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;3;ITA amlodpinie besilate ABC FARMACEUTICI SpA tablet 10mg/;ITA amlodpinie besilate ABC FARMACEUTICI SpA tablet 10mg/;;;AMLODIPINA ABC;AMLODIPINA ABC tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;ABC FARMACEUTICI SpA;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
41408194;AMLODIPINA*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate ACCORD HEALTHCARE SLU tablet 14 x 10mg/;ITA amlodpinie besilate ACCORD HEALTHCARE SLU tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;4;ITA amlodpinie besilate ACCORD HEALTHCARE SLU tablet 10mg/;ITA amlodpinie besilate ACCORD HEALTHCARE SLU tablet 10mg/;;;AMLODIPINA ACCORD;AMLODIPINA ACCORD tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;ACCORD HEALTHCARE SLU;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
39389212;AMLODIPINA*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate ALMUS Srl tablet 14 x 10mg/;ITA amlodpinie besilate ALMUS Srl tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;5;ITA amlodpinie besilate ALMUS Srl tablet 10mg/;ITA amlodpinie besilate ALMUS Srl tablet 10mg/;;;AMLODIPINA ALMUS;AMLODIPINA ALMUS tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;ALMUS Srl;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
37329024;AMLODIPINA*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate LABORATORI ALTER Srl tablet 14 x 10mg/;ITA amlodpinie besilate LABORATORI ALTER Srl tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;6;ITA amlodpinie besilate LABORATORI ALTER Srl tablet 10mg/;ITA amlodpinie besilate LABORATORI ALTER Srl tablet 10mg/;;;AMLODIPINA ALTER;AMLODIPINA ALTER tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;LABORATORI ALTER Srl;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
38096309;AMLODIPINA*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate ARISTO PHARMA GMBH tablet 14 x 10mg/;ITA amlodpinie besilate ARISTO PHARMA GMBH tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;7;ITA amlodpinie besilate ARISTO PHARMA GMBH tablet 10mg/;ITA amlodpinie besilate ARISTO PHARMA GMBH tablet 10mg/;;;AMLODIPINA ARISTO;AMLODIPINA ARISTO tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;ARISTO PHARMA GMBH;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
40789226;AMLODIPINA*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate AUROBINDO PHARMA ITALIA Srl tablet 14 x 10mg/;ITA amlodpinie besilate AUROBINDO PHARMA ITALIA Srl tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;8;ITA amlodpinie besilate AUROBINDO PHARMA ITALIA Srl tablet 10mg/;ITA amlodpinie besilate AUROBINDO PHARMA ITALIA Srl tablet 10mg/;;;AMLODIPINA AUROBINDO;AMLODIPINA AUROBINDO tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;AUROBINDO PHARMA ITALIA Srl;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
38092021;AMLODIPINA*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate DOC GENERICI Srl tablet 14 x 10mg/;ITA amlodpinie besilate DOC GENERICI Srl tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;9;ITA amlodpinie besilate DOC GENERICI Srl tablet 10mg/;ITA amlodpinie besilate DOC GENERICI Srl tablet 10mg/;;;AMLODIPINA DOC GENERICI;AMLODIPINA DOC GENERICI tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;DOC GENERICI Srl;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
37479159;AMLODIPINA*14 cpr 10 mg;;;;;;;;ITA amlodpinie besilate EG SpA tablet 14 x 10mg/;ITA amlodpinie besilate EG SpA tablet 14 x 10mg/;;;;;14;;14;;;;;;;;;;;;;;10219000;Tablet;;;;15054000;tablet;;;;;;;10;ITA amlodpinie besilate EG SpA tablet 10mg/;ITA amlodpinie besilate EG SpA tablet 10mg/;;;AMLODIPINA EG;AMLODIPINA EG tablet 10mg/;C08CA01;Amlodipine;;10219000;Tablet;;;EG SpA;;;;;;ITA;amlodpinie besilate tablet 10mg/;;amlodpinie besilate tablet 10mg/;;10219000;tablet;;;;;;;;15054000;tablet;;;;20053000;Oral use;100000073619;;;;;;;100000090079;simvastatin;100000090079;amlodpinie besilate;;100000085259;amlodpine;;;100000090079;AMLODIPINA BESILATO;;;;;;;;;;;;;10;mg;;;;;10;mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amlodpine oral 10mg/;;;;;;;;;;;;oral;amlodpine oral 10mg/;;;;;;;;;;;;;;;;;;;;;;
